pan_id,name,dob,address,tax_filing_income,asset_flag
AmLWq4728l,Dipta Dash,1975-06-18,"H.No. 64, Datta Circle, Bidar 299468",1318367,Mutual Funds > 5L
prfsK0122K,Daksha Mangat,1969-04-30,"77, Vaidya Ganj, Gulbarga-489513",3758222,Property > 50L
MSPAz2900k,Umang Issac,1965-01-19,"791, Sachdeva Chowk, Yamunanagar 632016",3567780,Property > 50L
zaqvd7026L,Patrick Vasa,1986-08-21,"H.No. 727, Nadig Circle, Pudukkottai 872774",1782894,Property > 50L
eEsPc5632b,Aradhana Verma,1988-01-01,"14, Magar Ganj, Imphal-223623",4414619,Mutual Funds > 5L
VWfKo3910p,Oeshi Reddy,1977-07-17,"H.No. 366, Bahri, Morena-546688",4535876,Mutual Funds > 5L
liktD5389f,Vinaya Kanda,1973-08-06,"H.No. 656, Sibal Street, Deoghar-699016",4817796,Mutual Funds > 5L
aScAb1936H,Triya Gopal,1958-06-12,"H.No. 37, Nazareth Path, Alwar 417080",3115557,Mutual Funds > 5L
uzrzh2770R,Udarsh Biswas,1999-05-18,"309, Khare Street, Bhalswa Jahangir Pur 937452",1910818,Luxury Car
izsnT6076H,Nihal Mukhopadhyay,1962-05-19,"66/31, Kibe, Barasat 905865",3476546,Mutual Funds > 5L
uoDlm5009r,Yashawini Om,1955-11-20,"H.No. 657, Saran Street, Nagaon-987769",3368664,Mutual Funds > 5L
QjoRh6176n,Ekantika Korpal,1960-12-03,"799, Nayar Marg, Shimla 273545",3561891,Luxury Car
PYNqs3610T,Anya Anne,1990-03-07,"678, Soni Ganj, Sultan Pur Majra-143634",3891505,Mutual Funds > 5L
mTgyw1642r,Urvashi Wali,1978-06-02,"H.No. 74, Krishnamurthy Road, Jamshedpur-518233",4372288,Luxury Car
lDEQy4137H,Aradhana Vohra,1995-08-21,"435, Mittal Street, Deoghar 400842",1769640,Luxury Car
BSnYq5760M,Harshil Arora,1994-02-02,"75, Behl Street, Morena 167190",2191688,Luxury Car
rBZeE4290u,Manthan Modi,1960-10-27,"69/99, Virk Ganj, Hospet-496499",2701301,Property > 50L
CbfFN5188N,Hardik Johal,1997-08-04,"12/328, Dugar Zila, Alappuzha-974034",2314135,Luxury Car
Slcks9324J,Sudiksha Bobal,1970-11-28,"18, Dixit Ganj, Ajmer 024994",2987738,Luxury Car
XreXF3744k,Jeet Sidhu,1975-09-20,"87/71, Baral, North Dumdum-013990",1441860,Luxury Car
XvYmG3456y,Banjeet Gill,1987-01-16,"967, Singhal Zila, Alappuzha-512567",2312528,Mutual Funds > 5L 
Wakws9479X,Nandini Bansal,1985-12-22,"H.No. 51, Varkey Marg, Hosur 603859",1001509,Luxury Car
WiAJK8536c,Riya Behl,1968-11-16,"H.No. 77, Balakrishnan Zila, Kozhikode 808613",3499187,Property > 50L
HBUTr4723e,Triya Dalal,1999-02-06,"48/467, Kohli Chowk, Suryapet-639821",4266950,Property > 50L
oGvOu0095E,Oeshi Oak,1989-07-29,"H.No. 49, Suri, Amroha 558867",2063371,Property > 50L
UrpuX4216L,Ranbir Khare,1993-12-08,"05, Raj Chowk, Saharanpur-028951",1924604,Luxury Car
XoEIe9009q,Harish Vora,1986-02-13,"21, Lanka Chowk, Sikar 586578",3917032,Luxury Car
POAVg6047s,Ekapad Keer,1997-12-22,"16/117, Mistry Street, Ranchi 045562",1967448,Property > 50L
qrnDd3788z,Nisha Gole,1966-08-04,"69/37, Dhar, Surendranagar Dudhrej-740748",3630146,Mutual Funds > 5L
PwAqA6187D,Ethan Sathe,1978-07-17,"47/436, Chhabra Chowk, Eluru 944064",4745760,Luxury Car
JZYex2636Q,Gagan Venkataraman,1980-05-23,"772, Choudhary, Hazaribagh 507860",798914,Standard
WBcvc4356o,Sachi Loke,1983-12-07,"H.No. 677, Bains Ganj, Chittoor-822266",1544951,Standard
NbXGC7941G,Falguni Kamdar,1989-03-18,"73, Sachdeva, Avadi 898760",1837404,Standard
KiihS5504D,Adweta Sami,1960-04-25,"H.No. 663, Bhat Street, Rewa-907399",1916882,Standard
RKIkF2891h,Omya Naidu,1968-11-29,"H.No. 708, Morar Marg, Tirunelveli-942039",697775,Standard
utROM8313S,Isaiah Mandal,1979-06-10,"H.No. 692, Oak Zila, Jhansi-549824",630172,Standard
QYpZd3884S,Faqid Shukla,1991-09-09,"80, Puri Marg, Korba 589016",811576,Standard
fvamC4928X,Ishwar Soni,1958-09-23,"40/703, Varghese Nagar, Kadapa-726282",1514888,Standard
PXstH9682u,Anirudh Shankar,1965-01-18,"74/116, Agate Circle, Guntakal 961276",1540973,Standard
cHibp6208N,Tanmayi Bhandari,1998-04-11,"444, Nanda Ganj, Udaipur-587012",1560538,Standard
kQxnA0424M,Gautam Dugal,1970-03-10,"028, Seth Road, Allahabad-967024",1870978,Standard
WStcw3652w,Pavani Kumer,1989-02-18,"H.No. 40, Ratta Ganj, Sasaram 159773",546907,Standard
Ajmio8546B,Lakshmi Rau,1986-07-28,"12/59, Sundaram Road, Bhavnagar-429862",1226830,Standard
iayAz2699e,Nikita Goel,1967-11-24,"99/29, Kota, Pondicherry 688777",1336575,Standard
athpq9256H,Chandran Virk,1972-02-20,"H.No. 39, Gupta Circle, Bhatpara-600014",873437,Standard
jNUVe4076Y,Utkarsh Bandi,1974-05-14,"H.No. 10, Varty Ganj, Pondicherry 872099",942456,Standard
tkVYQ8656S,Chaman Apte,1977-06-12,"23/53, Sundaram Nagar, Haldia-948962",648557,Standard
zIiaf9805E,Yatan Agate,1985-07-20,"H.No. 869, Srinivasan Path, Ramagundam-434741",1393420,Standard
QmEQN2531u,Gunbir Arya,1958-07-21,"32, Taneja Zila, Ghaziabad-619202",839681,Standard
UeLmH5999E,Shivansh Sharaf,1957-10-08,"24/447, Acharya Road, Kumbakonam-078623",1169093,Standard
AueXW5107M,Urishilla Bandi,1992-12-14,"32, Palan Circle, Agartala 634091",773161,Standard
wwIVf8580U,Ekani Seth,1972-10-03,"53/916, Swamy Nagar, Delhi 409304",947890,Standard
rbWpM5418Y,Pranav Bumb,1991-09-30,"66/20, Varkey Ganj, Tinsukia 407880",610991,Standard
MSvfy2652s,Samuel Jani,1971-02-18,"303, Sidhu, Firozabad 880670",668693,Standard
cMkcR8987T,George Zachariah,1997-11-03,"H.No. 132, Radhakrishnan Marg, Jalandhar 848580",963482,Standard
lQhhM5263P,Bachittar Merchant,1985-12-22,"H.No. 539, Amble Chowk, Morena-544708",1993914,Standard
WesyV2317e,Yagnesh Magar,1983-09-09,"26, Kothari Street, Gangtok-053026",1647706,Standard
ixFJC1840a,Lipika Varughese,1982-05-01,"H.No. 630, Randhawa Marg, Raebareli 502816",904982,Standard
LhanL4098c,Nitesh Bhargava,1971-03-04,"H.No. 20, Lala, Sangli-Miraj & Kupwad 759795",746683,Standard
zcdNT3192I,Caleb Deol,1986-07-25,"H.No. 54, Devan Road, Imphal 894453",1647662,Standard
bOJhT8118J,Ijaya Palla,1991-01-19,"H.No. 56, Dugar Marg, Kavali-217970",1586796,Standard
pZAgZ5660A,Dayita Sampath,1957-02-05,"H.No. 72, Ravi Marg, Mira-Bhayandar-515850",1484439,Standard
eCoRU1530O,Pallavi Taneja,1961-05-31,"H.No. 587, Bhatia, Bikaner 441339",669644,Standard
qdTyq5479U,Tanay Chatterjee,1976-10-16,"H.No. 71, Buch, Raebareli-693656",1992349,Standard
uTMFq1833O,Meghana Amble,1980-06-29,"377, Lanka Zila, Chennai-922095",1325746,Standard
mjSTM6733S,Simon Deol,1969-05-03,"H.No. 02, Deol Circle, Mathura-676992",1058868,Standard
pNTko4277U,Lohit Batra,1964-04-28,"H.No. 914, Bhattacharyya Nagar, Tadepalligudem-328442",654845,Standard
MLHjM3471a,Garima Nagi,1960-09-30,"52/607, Sarin Path, Panihati 100643",591374,Standard
OUXji3226F,Unni Sibal,1969-11-18,"80, Ratti Marg, Morena-703850",1986485,Standard
NukNG3605Y,Krishna Mani,1960-10-18,"40/274, Saraf Nagar, Ambarnath 676259",1237865,Standard
cpTzm0620Z,Netra Lala,1983-01-13,"74/59, Joshi Chowk, Nagaon 997984",847731,Standard
TGBcL9149V,Dipta Atwal,1974-03-22,"64, Datta Ganj, Korba-612128",1897421,Standard
vNsJv9811o,Amol Agrawal,1960-01-04,"22, Wali Ganj, Mehsana-225678",704261,Standard
HjinC7188H,Dalbir Narayan,1999-10-02,"80, Bose Marg, Rohtak 647998",1324311,Standard
GBRCN4605r,Reyansh Khurana,1955-04-12,"610, Bhargava Circle, Erode-662016",558820,Standard
RGArv5557F,Ekantika Narang,1979-06-02,"H.No. 247, Maharaj Marg, Chennai-687586",1545683,Standard
weAyw8240q,Hredhaan Dube,1966-12-10,"H.No. 18, Sodhi, Kolkata 338686",1935424,Standard
EcUeC0835b,Nilima Hari,1958-02-15,"386, Ghose Nagar, Thoothukudi 898309",1932327,Standard
QLaLX4134B,Vamakshi Sundaram,1994-03-18,"H.No. 52, Luthra Circle, Bhagalpur-694804",733759,Standard
wWXyW5073S,Chandani Upadhyay,1955-12-27,"39/405, Bath, Bhiwani 294420",669509,Standard
MWivH3158r,Upadhriti Halder,1976-04-08,"197, Sinha Chowk, Katihar-759514",1034131,Standard
RHUkm1864a,Ekaja Venkatesh,1982-01-01,"62/33, Sanghvi Street, Karimnagar 942767",1070295,Standard
CmSay4831z,Tanay Chadha,1980-04-22,"88, Menon Street, Eluru 594698",1261345,Standard
piDUj9062o,Jagat Seshadri,1997-07-14,"379, Banik Nagar, Satna 870847",945536,Standard
eOYCA7954F,Dipta Jain,1995-05-27,"37, Bhatti Circle, Ballia 579089",1530186,Standard
WTOyk4589z,Yashasvi Lall,1992-06-26,"802, Srinivas Nagar, Vijayawada-396121",1955686,Standard
JZIgj9051K,Guneet Vaidya,1964-02-17,"H.No. 669, Dani Nagar, Malda 372982",744762,Standard
orTGQ6893B,Suhani Batra,1971-07-15,"75, Vaidya Chowk, Kadapa 355707",1027262,Standard
ZQngu7312v,Brijesh Nadkarni,1984-12-18,"187, Kapadia, Parbhani 045883",714629,Standard
tEdPS1141g,Utkarsh Naidu,1958-05-17,"71/56, Borde Circle, Ballia-797802",1477967,Standard
BGsqA3445E,Aryan Kata,1983-10-30,"H.No. 163, Nagar Street, Bellary-831597",915691,Standard
TQjQC5729o,Yashodhara Ramaswamy,1993-02-06,"915, Pillay Circle, Ujjain-324165",1478717,Standard
IpLBZ1854y,Unnati Johal,1975-06-07,"46, Das Street, Chapra 841749",983816,Standard
avakk1617e,Nidhi Bora,1998-12-14,"447, Bhardwaj Marg, Kishanganj 774029",883240,Standard
QOpmX2864b,Panini Pall,1957-01-13,"H.No. 836, Sethi Marg, Amravati-666102",1836817,Standard
lZciY5634i,Thomas Luthra,1996-10-15,"768, Sama Ganj, Secunderabad 177915",956653,Standard
hrsbN2446k,Yatan Palla,1959-04-16,"56, Dey Road, Faridabad-863726",588193,Standard
YWwVP3199y,Ishani Dugar,1998-07-14,"76/414, Bath, Thrissur-025513",1421246,Standard
zEjlI4448I,Aadi Mital,1986-12-05,"H.No. 454, Chacko Marg, Ongole-932511",745355,Standard
HDLun4978e,Abhiram Mann,1955-12-23,"776, Chandran Marg, Faridabad 800187",1459553,Standard
Lfufe3143q,Rachita Srivastava,1991-06-04,"10/781, Shan Circle, Ranchi-856425",600792,Standard
PajBL7068Q,Yash Bora,1980-05-11,"30/600, Hayer Street, Udaipur 550522",1146880,Standard
YjbzA4114E,Harshil Murty,1960-02-26,"99/201, Samra Marg, Tiruppur 222400",1390950,Standard
lQldx5392y,Ayaan Chandran,2000-02-28,"H.No. 348, Kadakia Road, Ramgarh 332528",733270,Standard
pUMqv6132A,Gauri Date,1969-10-06,"64/49, Sangha Chowk, Malegaon 986634",1311477,Standard
pBWDO2095Q,Xavier Malhotra,2000-01-24,"73/56, Natt Zila, Yamunanagar 559147",715244,Standard
OGdNA6253A,Henry Lata,1987-03-12,"695, Mani Street, Gopalpur 653538",741384,Standard
JvVpj9629s,Lipika Tak,1995-05-03,"H.No. 571, Shankar Street, Thiruvananthapuram-543468",1818902,Standard
QKbAY5863g,Manan Minhas,1993-07-04,"98/16, Pandya Zila, Orai-168371",1978389,Standard
ZnEiy0307d,Ojas Agrawal,1961-07-08,"80, Dey Circle, Panipat 121463",572167,Standard
luPrj9476V,Lipika Minhas,1978-06-19,"917, Mital Street, Thrissur-948112",1265835,Standard
DfNAC6649R,Nisha Kapur,1969-11-21,"10/16, Gara Zila, Aurangabad 163994",1734265,Standard
oorrn9013E,Vasatika Jha,1973-08-24,"H.No. 984, Bhatia Zila, Raebareli 930148",1500811,Standard
sLPTL1160Q,Aryan Batta,1976-03-23,"886, Dani Marg, Tinsukia-199034",1904605,Standard
GVvtJ2134q,Darpan Kadakia,1976-10-01,"07, Char, Gudivada-386015",681976,Standard
hniYT7117g,Amol Deshmukh,1975-09-04,"881, Chanda Road, Mira-Bhayandar-452719",1095666,Standard
xFysB3678m,William Buch,1957-07-30,"16/19, Gara Road, Saharanpur-540131",1623825,Standard
AMQBQ5350l,Ekalinga Ray,1992-04-22,"H.No. 25, Taneja Street, Aurangabad 254717",1681744,Standard
rHHwB9899y,Yashawini Kant,1958-12-30,"H.No. 956, Pall Chowk, Dhule 584227",1786749,Standard
ziWPx1726z,Atharv Lad,1981-01-27,"H.No. 014, Choudhry Road, Kolkata 862408",728731,Standard
OAAIM7100d,Harish Sunder,1964-04-01,"62, Thaker Ganj, Bhilai-223282",1532810,Standard
saIrE2282u,Reyansh Parmar,1996-04-06,"H.No. 410, Loyal Circle, Mahbubnagar 351135",1260991,Standard
XCjkX0535P,Abhimanyu Sarkar,1974-09-16,"80, Shetty, Bhopal 801041",1133542,Standard
teNvW9453i,Adweta Mani,1986-12-23,"H.No. 28, Gill Nagar, Sasaram-063578",1388690,Standard
LXhQj0378g,Sai Krishna,1971-04-30,"H.No. 58, Padmanabhan Path, Serampore-084290",1307588,Standard
OdStw6969j,Alexander Purohit,1959-07-25,"H.No. 67, Kaur Ganj, Darbhanga 701652",1497496,Standard
AQJet7613L,Logan Parmar,1969-12-28,"769, Dyal, Sagar 477250",587895,Standard
Vjqln8423t,Azad Mahal,1960-06-20,"H.No. 15, Koshy Path, Ghaziabad-585574",783514,Standard
FKZya9062k,Nitesh Pillay,1985-10-17,"329, Manne Path, Bokaro 158286",1638558,Standard
iMBzl3040S,Saanvi Dugar,1961-10-10,"922, Mittal Nagar, Vellore-821539",1244043,Standard
nEazo2669i,Bachittar Kale,1963-04-08,"04/85, Goyal Nagar, Ranchi-190193",582296,Standard
oFMFf3359M,Aarnav Bhardwaj,1998-12-29,"95/616, Gour Street, Gandhinagar 718559",1737930,Standard
NZjoa4079s,Teerth Deshpande,1970-12-21,"77/814, Puri Path, Gandhidham 370194",566622,Standard
fQCFB5391A,Harini Bhardwaj,1978-06-23,"61/209, Chadha Street, Morena-619022",1376834,Standard
EOJRC3116b,Vanya Sane,1968-12-09,"237, Zacharia Zila, Bhimavaram 126848",1935548,Standard
ffsjM5637t,Anthony Baria,1956-12-28,"H.No. 39, Dixit Circle, Srinagar-246598",695541,Standard
iEWIT6693q,Vritti Jaggi,1988-11-03,"15/38, Barman Street, Navi Mumbai-065266",1688898,Standard
YoxeZ4267j,Qadim Mammen,1976-07-10,"756, Raju Path, Bulandshahr 878496",1994668,Standard
sTxhb2249t,Lakshit Murty,1955-06-03,"65/68, Choudhary Path, Meerut-276729",1062674,Standard
CLXnq3509R,Lakshit Bora,1963-12-09,"50, Din Street, Jalna 780457",1839869,Standard
hHsSP9725d,Arjun Jani,1970-09-09,"H.No. 78, Kibe Street, Raiganj-094516",1180642,Standard
zmAOo7670Q,Zinal Sandhu,1968-08-31,"H.No. 220, Vasa Nagar, Ambala 264833",1417750,Standard
ybYGk3679S,Wishi Chada,1969-02-06,"H.No. 49, Saran Road, Nagpur-649013",1780986,Standard
WfKnx2495d,Faras Chokshi,1977-08-08,"H.No. 758, Zachariah Nagar, Thrissur 441040",1950527,Standard
zyGve4315R,Ganga Halder,1990-07-30,"37/47, Pandey Path, Thiruvananthapuram 901685",1448572,Standard
FCJqc6471f,Mohammed Shere,1999-09-27,"88/37, Sarin Zila, Aligarh 866861",1080611,Standard
yCwLV1997T,Rushil Dutta,1983-03-09,"H.No. 505, Johal Circle, Jhansi 581956",1425590,Standard
xpxpp5728L,Barkha Dutta,1981-06-03,"H.No. 775, Bassi Circle, Bathinda-668793",1917190,Standard
YGvnk0302D,Varenya Rajagopalan,1984-04-14,"H.No. 15, Gala Nagar, Cuttack-461308",1768728,Standard
KEiUa7308O,Udarsh Ganesan,1987-12-12,"11, Master Circle, Imphal-786309",666642,Standard
jedjT0071r,Rishi Merchant,2000-12-19,"057, Singh Chowk, Tadipatri 199716",618741,Standard
XzzXD5965A,Banjeet Purohit,1990-09-07,"H.No. 40, Peri Nagar, Nanded-265379",1332274,Standard
LeWqp3221N,Tara Bail,1979-08-25,"36/015, Contractor Chowk, Ozhukarai 101626",1228236,Standard
izwJK0080T,Advika Sidhu,1977-11-27,"548, Jhaveri Circle, Pallavaram-921496",1095018,Standard
ypTGA7914O,Bhanumati Khatri,1965-08-16,"H.No. 726, Patla Marg, Kadapa 468549",1181571,Standard
acZcS2724V,Ansh Raman,2000-03-19,"H.No. 60, Chadha Path, Karaikudi 432716",1362082,Standard
uAPny3033M,Agastya Chakraborty,1958-12-26,"08/99, Bhatti Ganj, Saharsa 048028",1361511,Standard
vIMWl3541N,Victor Bawa,1972-11-20,"61, Sahni Ganj, Tirunelveli-812268",1469164,Standard
XDSqX1594D,Idika Kannan,1960-01-14,"H.No. 83, Anand Ganj, Mehsana 979842",1264172,Standard
VtiQB1891M,Urvi Reddy,1979-04-01,"76, Chaudhari Chowk, Nangloi Jat 288363",1521149,Standard
bfUPz6885X,Tripti Ratti,1966-09-21,"66, Varma Chowk, Jehanabad-761652",690325,Standard
MaDsL2898L,Eesha Wason,1962-04-01,"H.No. 97, Shroff Chowk, Raebareli-976408",1425695,Standard
bubeT3858s,Ridhi Chopra,1981-05-25,"93/91, Pandey Street, Etawah 887114",868050,Standard
PxXca8600T,Adweta Madan,1995-06-22,"75/70, Badal Ganj, Giridih-011250",688237,Standard
FrkKW1860b,Hemangini Dixit,1967-05-09,"693, Babu Zila, Gulbarga-073024",708894,Standard
qSZKC2662x,Upasna Mani,1956-09-19,"14/469, Reddy Path, Rohtak 687354",1159643,Standard
vUery4534P,Omya Pandya,1990-01-04,"34/83, Sanghvi Path, Erode-366485",1409477,Standard
ExHEa3207G,Yagnesh Dutt,1999-04-15,"44/369, Wason Path, Raurkela Industrial Township-450509",878667,Standard
DkUad2846D,Avni Gera,1996-02-04,"77/372, Murty, Hapur-380162",1532237,Standard
wcRiS5851S,Charita Oza,1956-08-07,"H.No. 35, Bhattacharyya Ganj, Madhyamgram-337953",1584161,Standard
pQwKb1112r,Nandini Parmar,1967-08-04,"866, Padmanabhan Street, Faridabad-738385",1414944,Standard
qOWBc5451Z,Vincent Naik,1961-05-28,"45/553, Balay Chowk, Bhavnagar 281673",733165,Standard
gifQu3746E,Pallavi Ganesan,1983-12-22,"608, Vora Road, Sasaram 620990",1120878,Standard
MBpbY6931p,Ethan Sarin,1988-08-24,"H.No. 05, Zacharia, Cuttack 731234",1381371,Standard
ctGwf3888Q,Max Bhandari,1964-11-28,"45, Dhillon Nagar, Patiala 342755",1907483,Standard
MNehT7672v,Arjun Mangal,1997-10-22,"H.No. 834, Sarin Ganj, Kamarhati 029771",1902996,Standard
jRLhR1506D,Madhavi Nori,1959-05-25,"816, Chacko Street, Ambala-392219",1494048,Standard
eYuCn8369R,Radhika Sule,1962-10-11,"987, Agarwal Chowk, Jalna 991530",1005857,Standard
aZlai4450X,Yagnesh Talwar,1992-10-15,"45/029, Thakur Path, Bidhannagar 030409",1621258,Standard
RwtOe3467I,Wriddhish Samra,1991-11-21,"H.No. 382, Gera Chowk, Nashik 133460",687303,Standard
jagpI1842Q,Janaki Keer,1966-11-08,"16/816, Sagar Ganj, Patiala 736907",1105425,Standard
BElcc8947b,Kai Buch,1972-07-06,"07, Saraf Zila, Agartala 089512",1914902,Standard
xfWhX3708L,Alka Modi,1979-08-24,"97, Rana Street, Sonipat 192767",609828,Standard
URZhS1377W,Lohit Sandal,1971-05-24,"H.No. 266, Kanda Chowk, Serampore 737138",1783624,Standard
kUinR8740P,Lajita Biswas,1975-07-28,"27, Jayaraman Marg, Mumbai 117614",976141,Standard
sGohM2152z,Sarthak Sagar,1972-11-06,"H.No. 65, Yohannan Marg, Guntakal-036883",1033927,Standard
oFRMP0048o,Utkarsh Brar,1978-06-20,"91/270, Narayan Marg, Parbhani-040629",1084914,Standard
kiGkr1187E,Zilmil Hans,1956-05-31,"96, Srinivasan Nagar, Sultan Pur Majra 974997",971873,Standard
kigFh9905h,Nimrat Nayak,1983-06-09,"98/10, Bose Marg, Rajpur Sonarpur 631631",1660053,Standard
wClVW2975A,Omya Mody,1996-06-14,"88, Chakrabarti Zila, Hajipur-682013",1601216,Standard
FwmYR0716S,Ishwar Ramachandran,1970-02-12,"H.No. 317, Vyas, Agartala-049037",1260163,Standard
xHXvG2954o,Oviya Keer,1995-09-12,"43, Dube, Pondicherry 174192",1376793,Standard
FAlgT5814l,Nidra Barad,1963-04-18,"94/54, Johal Zila, Ratlam-156309",1096021,Standard
zHQVv3079X,Priya Mohan,1979-09-07,"40/899, Chokshi Street, Karawal Nagar-516681",893264,Standard
EmBCb1339E,Jai Srinivas,1999-09-22,"H.No. 242, Garde Street, Bareilly-063236",815597,Standard
IgPYt5401s,Om Minhas,1992-08-21,"02/435, Morar Nagar, Bulandshahr 118615",1868537,Standard
ZKsgt6409F,Reyansh Zacharia,1997-03-21,"05, Desai Road, Anantapur 908261",639450,Standard
yuNrl1035V,Balendra Ghosh,1971-06-26,"66/969, Ganesh Street, Muzaffarpur-861941",1996676,Standard
RbNYo1839Y,Jonathan Mand,1999-07-05,"H.No. 662, Guha Circle, Alappuzha-348893",1968922,Standard
xgVHy3437B,Baljiwan Tripathi,1984-08-08,"438, Rajagopal Street, Begusarai 507435",922853,Standard
WJOHZ0952N,Anita Srinivasan,1998-01-01,"69/64, Kadakia Path, Ghaziabad 765047",1752928,Standard
acWLZ1883L,Anusha Deshpande,1992-06-26,"H.No. 49, Purohit Marg, Chinsurah-989947",511799,Standard
SPbBL0617d,Advika Sarraf,1960-08-10,"847, Nayar Zila, Nangloi Jat 665051",1622901,Standard
RgyFQ8860s,Pratyush Jayaraman,1974-05-11,"69/85, Mall Nagar, Pune-669375",1970650,Standard
lYJBe4024E,Garima Sehgal,1963-06-28,"503, Naik Circle, Haldia 648163",531744,Standard
WVAJd8493Q,Rohan Naidu,1989-11-16,"H.No. 101, Sarna Street, Ghaziabad 193048",1039565,Standard
wHyWE5277d,Lila Narang,1983-04-06,"634, Manda Road, Hindupur-689633",848084,Standard
moxCR1812A,Vansha Batta,1985-07-18,"44, Shenoy Path, Haldia-626367",1112341,Standard
NJMFF8508q,Kavya Mahajan,1974-07-18,"52/95, Sehgal Ganj, Nizamabad-376768",1504009,Standard
jbEAD7404w,Darika Saxena,1978-11-22,"H.No. 157, Johal Ganj, Giridih-009406",1541404,Standard
jpVsU5658q,Yash Vohra,1977-09-20,"523, Sabharwal Street, Patna-047091",1267803,Standard
LWQxA1034e,Yachana Rastogi,1976-06-01,"15/83, Malhotra Chowk, Purnia 447761",1028797,Standard
QarUD8687U,Mugdha Rajagopal,1992-04-14,"52/565, Prasad, Hajipur-423302",1366258,Standard
sburE9276R,Pahal Ghosh,1965-08-11,"H.No. 513, Wali Zila, Gandhinagar 474733",1483449,Standard
DUVGv8914k,Tamanna Mistry,1975-08-10,"594, Chauhan Road, Rourkela-873518",1242279,Standard
Etgnf6647n,Faraj Tiwari,2000-11-29,"585, Loke Ganj, Ratlam-539885",665980,Standard
MuvNZ2178N,Chavvi Borra,1966-08-25,"H.No. 81, Sharma Marg, Udupi-383193",1974385,Standard
JTWcU4891d,Dhruv Kuruvilla,1981-03-27,"924, Chauhan Street, Ramgarh-309121",513568,Standard
msffs8527U,Gaurang Hegde,1972-01-01,"55/301, Kapoor Path, Jhansi 440778",1940907,Standard
VAxNJ1109t,Ekaja Shan,1982-09-15,"45/418, Chaudhari Street, Vellore-520641",980272,Standard
gSVyP9106y,Anay Bhargava,1990-11-06,"42/168, Sahni Street, Saharanpur-756269",1793980,Standard
HmOrF9620K,Aarush Apte,1978-07-09,"57/228, Bawa Chowk, Sangli-Miraj & Kupwad-007485",1435600,Standard
ZmJDh9724j,Gaurang Merchant,1977-10-19,"H.No. 80, Varty Street, Pune-048022",1521028,Standard
tEqCZ4065z,Benjamin Bajaj,1972-07-11,"64, Banik Ganj, Pali 562388",692305,Standard
CUywB7888S,Ethan Jha,1981-07-09,"22/901, Hari Zila, Bangalore 794719",1816325,Standard
bnvhW9038U,Ekantika Korpal,1993-02-20,"H.No. 19, Lad Zila, Phusro-534728",1805023,Standard
VAEnO3951d,Timothy Date,1999-10-08,"H.No. 848, Raval Circle, Bathinda-292582",1748696,Standard
aWWhH2828n,Yatan Prakash,1969-04-17,"85/68, Sami Road, Alappuzha 809645",1116428,Standard
UrKuK8374E,Manan Buch,1970-09-30,"H.No. 755, Dutt Path, Panipat 411486",1630087,Standard
