
unique_id,family_id,name,dob,address,relation
WHMsg3749m,6026b0e0,Chaman Majumdar,1960-07-05,"H.No. 367, Khosla Circle, Pallavaram 014363",Daughter
qEhez7520F,cc45e7fb,Ethan Patel,1984-04-17,"H.No. 824, Bhagat Nagar, Cuttack-109477",Head
tfphJ0229W,cc45e7fb,Omaja Patel,1986-04-16,"H.No. 824, Bhagat Nagar, Cuttack-109477",Spouse
yCCtL9938B,cc45e7fb,Dalaja Patel,1983-09-22,"H.No. 824, Bhagat Nagar, Cuttack-109477",Son
WnOnq9091Q,cc45e7fb,Finn Patel,1955-09-19,"H.No. 824, Bhagat Nagar, Cuttack-109477",Daughter
IoPjr9361j,a2f52313,Ekbal Khatri,1949-02-01,"067, Singhal, Patna-447134",Head
sChDS2499t,a2f52313,Neha Khatri,1963-07-22,"067, Singhal, Patna-447134",Spouse
fMcBV8877u,a2f52313,Zashil Khatri,1946-10-15,"067, Singhal, Patna-447134",Daughter
ASFsQ5125z,dffd50eb,Balhaar Chand,1975-12-24,"49/027, Sathe Circle, Bokaro-717565",Head
hXzGa1545Q,dffd50eb,Turvi Chand,1973-02-24,"49/027, Sathe Circle, Bokaro-717565",Spouse
NWFOC0385W,dffd50eb,Charan Chand,1958-11-18,"49/027, Sathe Circle, Bokaro-717565",Son
CSFhb4824O,dffd50eb,Wriddhish Chand,1993-04-30,"49/027, Sathe Circle, Bokaro-717565",Daughter
mMGVi7826e,52681355,Anya Dutt,1997-08-10,"61/31, Dalal Chowk, Panchkula 846773",Head
asUtL6584L,52681355,Vrishti Dutt,2003-11-29,"61/31, Dalal Chowk, Panchkula 846773",Spouse
wvJWI2787y,52681355,Tamanna Dutt,1966-12-04,"61/31, Dalal Chowk, Panchkula 846773",Daughter
aUjAP7187j,f7b1bc80,Falan Gulati,1976-12-23,"605, Raj Chowk, Saharanpur-028951",Head
PfvRI4596y,f7b1bc80,Edhitha Gulati,1987-09-07,"605, Raj Chowk, Saharanpur-028951",Son
epORs7809o,f7b1bc80,Gautam Gulati,1974-07-24,"605, Raj Chowk, Saharanpur-028951",Daughter
NyNRp2221F,86bcb871,Luke Chaudhari,1960-10-30,"400, Bhalla Path, Secunderabad 623869",Head
QaZDs7474R,86bcb871,Nakul Chaudhari,1950-01-20,"400, Bhalla Path, Secunderabad 623869",Spouse
OBSqD7594t,86bcb871,Rushil Chaudhari,1971-03-17,"400, Bhalla Path, Secunderabad 623869",Son
KwKsS7136s,86bcb871,Anthony Chaudhari,2001-07-06,"400, Bhalla Path, Secunderabad 623869",Daughter
suVAl9521m,84348bb1,Kevin Randhawa,1998-07-20,"09/74, Pandey Ganj, Jhansi 210470",Head
rkqEZ8588s,84348bb1,Hamsini Randhawa,1999-10-04,"09/74, Pandey Ganj, Jhansi 210470",Spouse
WoRUR1712z,84348bb1,Jasmit Randhawa,1951-03-05,"09/74, Pandey Ganj, Jhansi 210470",Son
PAhic3174c,b4d6c067,Daksha Rana,1978-07-21,"17/54, Raj, Moradabad 709859",Head
iyDxQ1138V,b4d6c067,Oni Rana,1984-12-30,"17/54, Raj, Moradabad 709859",Spouse
NArcS2617x,b4d6c067,Teerth Rana,1975-03-15,"17/54, Raj, Moradabad 709859",Son
RxIPw7351d,b4d6c067,Mitali Rana,1963-10-21,"17/54, Raj, Moradabad 709859",Daughter
rjiIq5290Z,a1c89a66,Owen Gupta,1952-07-05,"H.No. 390, Nath Nagar, Cuttack 183933",Head
YYpLu0205b,a1c89a66,Owen Gupta,1963-02-01,"H.No. 390, Nath Nagar, Cuttack 183933",Spouse
hVeEC0268X,a1c89a66,Janaki Gupta,1979-12-15,"H.No. 390, Nath Nagar, Cuttack 183933",Son
oNcUY9178Q,a1c89a66,Charvi Gupta,1976-03-13,"H.No. 390, Nath Nagar, Cuttack 183933",Daughter
MHsDG9856M,9b7a7762,Qushi Balasubramanian,1951-10-12,"61, Sawhney Chowk, Jodhpur 921249",Head
CoAvD1836z,9b7a7762,Ojasvi Balasubramanian,1994-09-05,"61, Sawhney Chowk, Jodhpur 921249",Son
QqxjR1565E,9b7a7762,Ekalinga Balasubramanian,1951-03-28,"61, Sawhney Chowk, Jodhpur 921249",Daughter
jQEog1983w,535438b8,Jhalak Chada,1952-11-05,"H.No. 528, Narayan Nagar, Bulandshahr 604945",Head
JXNNR4936P,535438b8,Atharv Chada,1986-06-21,"H.No. 528, Narayan Nagar, Bulandshahr 604945",Spouse
kxtUu6675X,06dee76f,Frado Loke,2005-02-20,"H.No. 45, Ahuja Path, Asansol 120183",Head
dRfrC0229Q,06dee76f,Panini Loke,1978-01-29,"H.No. 45, Ahuja Path, Asansol 120183",Son
nWGhw9764B,06dee76f,Indrajit Loke,1964-04-21,"H.No. 45, Ahuja Path, Asansol 120183",Daughter
IToGJ6226Q,0d43c875,Irya Sur,1949-12-07,"690, Jayaraman Nagar, Rajpur Sonarpur 445107",Head
DeuKB6060K,0d43c875,Nidhi Sur,1993-04-23,"690, Jayaraman Nagar, Rajpur Sonarpur 445107",Spouse
bukZN6416D,0d43c875,Janaki Sur,1951-01-10,"690, Jayaraman Nagar, Rajpur Sonarpur 445107",Son
LzHfz6136t,0d43c875,Harinakshi Sur,1960-02-09,"690, Jayaraman Nagar, Rajpur Sonarpur 445107",Daughter
WKWLC1277R,0420ec17,Ekantika Nath,2003-11-03,"18/83, Panchal Path, Noida-243292",Head
ECOtY5271r,0420ec17,Daksh Nath,1968-12-23,"18/83, Panchal Path, Noida-243292",Son
PmuME8079G,4ff8977a,Matthew Tripathi,1949-03-28,"70, Pillay Nagar, Solapur 998679",Head
GPlcp7151T,4ff8977a,Raksha Tripathi,1974-12-06,"70, Pillay Nagar, Solapur 998679",Spouse
xxsyA8892X,4ff8977a,Hamsini Tripathi,1991-03-25,"70, Pillay Nagar, Solapur 998679",Son
vgJRy9051s,4ff8977a,Zayyan Tripathi,1994-04-12,"70, Pillay Nagar, Solapur 998679",Daughter
lnvXF5054m,8f294028,Upkaar Doctor,1954-05-23,"25/46, Chad Street, Karaikudi 528168",Head
GXIVH2141c,8f294028,Gayathri Doctor,2004-08-31,"25/46, Chad Street, Karaikudi 528168",Son
xRKCD3473X,4cc3c480,Baghyawati Deep,1997-12-24,"292, Bassi Chowk, Bharatpur-794738",Head
kmZMi6886q,4cc3c480,Charles Deep,1988-08-29,"292, Bassi Chowk, Bharatpur-794738",Spouse
THhsf7581W,4cc3c480,Naveen Deep,1963-08-05,"292, Bassi Chowk, Bharatpur-794738",Son
foCwb7826A,4cc3c480,Chatresh Deep,1972-01-03,"292, Bassi Chowk, Bharatpur-794738",Daughter
fbqnj7790J,a4ffcc6d,Pallavi Thakkar,1952-08-05,"15, Bala Ganj, Navi Mumbai 220472",Head
dpAOY4341N,a4ffcc6d,Tanvi Thakkar,1949-04-21,"15, Bala Ganj, Navi Mumbai 220472",Spouse
byEcO8888y,4ff4e475,Kashvi Choudhry,1962-04-16,"89/324, Agarwal Marg, New Delhi-218518",Head
pUQOg0515X,4ff4e475,Gaurangi Choudhry,1954-02-08,"89/324, Agarwal Marg, New Delhi-218518",Spouse
PlXRD0585S,4ff4e475,Varenya Choudhry,1988-01-07,"89/324, Agarwal Marg, New Delhi-218518",Son
csmcY2217m,4ff4e475,Benjamin Choudhry,1966-07-04,"89/324, Agarwal Marg, New Delhi-218518",Daughter
xZHrZ5277f,4d1962fc,Panini Mukherjee,1950-05-26,"H.No. 03, Parikh Road, Bathinda-156676",Head
sugfu6928Q,4d1962fc,Chakrika Mukherjee,1965-11-19,"H.No. 03, Parikh Road, Bathinda-156676",Spouse
SCwCc7962U,4d1962fc,Ira Mukherjee,1986-11-14,"H.No. 03, Parikh Road, Bathinda-156676",Son
jRCxx6909C,52c9a59b,Faraj Saran,1984-01-31,"H.No. 658, Balasubramanian Street, Narasaraopet 021355",Head
uPrph2856b,52c9a59b,Quincy Saran,1978-12-27,"H.No. 658, Balasubramanian Street, Narasaraopet 021355",Spouse
qXqTC8681n,52c9a59b,Bhavika Saran,1992-04-02,"H.No. 658, Balasubramanian Street, Narasaraopet 021355",Son
eClTC7312f,52c9a59b,Ekaja Saran,1990-06-23,"H.No. 658, Balasubramanian Street, Narasaraopet 021355",Daughter
iNfet9578z,9e287204,Varenya Palan,1980-10-20,"H.No. 22, Trivedi Path, Bhilai 237058",Head
iuPeC6691D,9e287204,Zansi Palan,1968-06-21,"H.No. 22, Trivedi Path, Bhilai 237058",Spouse
XiBGd2892h,9e287204,Zarna Palan,1955-06-11,"H.No. 22, Trivedi Path, Bhilai 237058",Son
TowHs4225f,9e287204,Zashil Palan,1958-05-22,"H.No. 22, Trivedi Path, Bhilai 237058",Daughter
NObFO4396I,355b7617,Bimala Maharaj,1988-09-16,"81/82, Dube, Mahbubnagar-900109",Head
tDeSd4736k,355b7617,Ria Maharaj,1973-04-24,"81/82, Dube, Mahbubnagar-900109",Daughter
pjgds7147y,73d7ddc8,Omya Sule,1961-12-03,"H.No. 92, Nagar Path, Silchar-588153",Head
mWkFG2595D,73d7ddc8,Wishi Sule,2004-11-06,"H.No. 92, Nagar Path, Silchar-588153",Son
zGDpn4701L,73d7ddc8,Ira Sule,1948-05-04,"H.No. 92, Nagar Path, Silchar-588153",Daughter
seyGC8358W,9520685d,Ati Bedi,2001-03-11,"74/80, Sankar Zila, Bilaspur 650609",Head
gzxYv9912J,9520685d,Jasmit Bedi,1996-05-27,"74/80, Sankar Zila, Bilaspur 650609",Spouse
zGccc2398i,9520685d,Gauri Bedi,1999-09-27,"74/80, Sankar Zila, Bilaspur 650609",Son
MGiuN7872u,9520685d,Nicholas Bedi,1971-10-08,"74/80, Sankar Zila, Bilaspur 650609",Daughter
kHOUN3097X,3695b90e,Lajita Mistry,1955-01-31,"94/705, Choudhary Path, Ballia 097499",Head
mbCuA3091j,3695b90e,Nitara Mistry,1992-01-07,"94/705, Choudhary Path, Ballia 097499",Spouse
EVUdT3689i,3695b90e,Zilmil Mistry,1959-02-20,"94/705, Choudhary Path, Ballia 097499",Son
yulDI8578v,3695b90e,Irya Mistry,1991-01-08,"94/705, Choudhary Path, Ballia 097499",Daughter
zwXZj1986s,2b4ecf42,Brijesh Lalla,1964-08-08,"484, Mishra Ganj, Dhule-575844",Head
VEnmI1574r,2b4ecf42,Anita Lalla,1954-05-15,"484, Mishra Ganj, Dhule-575844",Spouse
pdQHo1993O,2b4ecf42,Viraj Lalla,1948-08-07,"484, Mishra Ganj, Dhule-575844",Son
gRXia1657J,2b4ecf42,Nakul Lalla,1972-09-19,"484, Mishra Ganj, Dhule-575844",Daughter
tKMgv2400s,884a708e,Suhani Soni,1988-09-01,"H.No. 54, Chakraborty Nagar, Deoghar-262067",Head
GDrmZ8872h,884a708e,Ganga Soni,1956-02-01,"H.No. 54, Chakraborty Nagar, Deoghar-262067",Son
VvYsK7420R,884a708e,Reyansh Soni,1956-12-20,"H.No. 54, Chakraborty Nagar, Deoghar-262067",Daughter
qPxSp4990d,06dc00bc,Jagat Ravi,1976-09-12,"H.No. 612, Sood Street, Kulti-463745",Head
TXtSh4268O,06dc00bc,Chakrika Ravi,1970-01-15,"H.No. 612, Sood Street, Kulti-463745",Spouse
EjDVM9332x,06dc00bc,Ojasvi Ravi,1992-10-17,"H.No. 612, Sood Street, Kulti-463745",Son
FfGCZ7139d,ccaeda2f,Sudiksha Sinha,1954-01-03,"91/878, Brahmbhatt Path, Ghaziabad-982258",Head
dJDRZ8679t,ccaeda2f,Anthony Sinha,1971-12-22,"91/878, Brahmbhatt Path, Ghaziabad-982258",Spouse
ecBwS4039e,ccaeda2f,Darpan Sinha,2005-11-17,"91/878, Brahmbhatt Path, Ghaziabad-982258",Son
AlXiX1704P,ccaeda2f,Osha Sinha,1970-07-06,"91/878, Brahmbhatt Path, Ghaziabad-982258",Daughter
yopDw7868j,e063cc1f,Anya Raja,1957-11-08,"18, Pall Street, Mangalore-823004",Head
Xbpne1069g,e063cc1f,Bahadurjit Raja,1975-05-30,"18, Pall Street, Mangalore-823004",Spouse
zCoIn9030W,e063cc1f,Daksh Raja,1954-07-26,"18, Pall Street, Mangalore-823004",Son
uKMXR8439u,e063cc1f,Warjas Raja,1965-07-25,"18, Pall Street, Mangalore-823004",Daughter
lWIEp6246o,4b39db9c,Charita Dhar,2003-05-21,"H.No. 40, Gill Circle, Miryalaguda-056856",Head
RMMce3046m,0d243414,Teerth Dhawan,1977-08-26,"66/88, Rama Street, Rohtak-517518",Head
nmVhV3540W,0d243414,Varenya Dhawan,2007-04-04,"66/88, Rama Street, Rohtak-517518",Spouse
pJuXs3936y,0d243414,Unnati Dhawan,1981-05-05,"66/88, Rama Street, Rohtak-517518",Daughter
LLUAs2048j,4dfd65a1,Rohan Parmer,1967-06-23,"H.No. 87, Chaudhari Chowk, Imphal 556093",Head
FJPRv3693q,4dfd65a1,Vrinda Parmer,1994-04-08,"H.No. 87, Chaudhari Chowk, Imphal 556093",Spouse
kiUIF7725l,4dfd65a1,Daniel Parmer,1980-09-06,"H.No. 87, Chaudhari Chowk, Imphal 556093",Son
AiOoe0100T,4dfd65a1,Matthew Parmer,1945-08-26,"H.No. 87, Chaudhari Chowk, Imphal 556093",Daughter
ggHjp0862m,60dfe652,Zayyan Kamdar,2000-07-03,"H.No. 997, Babu Chowk, Katihar-008484",Head
xzDKp5461S,60dfe652,Upkaar Kamdar,1965-06-10,"H.No. 997, Babu Chowk, Katihar-008484",Spouse
yyJEd1016O,60dfe652,Aditya Kamdar,1992-11-09,"H.No. 997, Babu Chowk, Katihar-008484",Son
